,job,city,counts,low_salary,high_salary,skills
0,data scientist,San Jose,1319,107500.0,152750.0,"['python', 'analysis', 'statistic', 'design', 'r', 'test', 'analytic', 'sql', 'network', 'collaborate']"
1,data scientist,San Francisco,937,140000.0,225333.33333333334,"['python', 'analysis', 'statistic', 'r', 'design', 'sql', 'test', 'collaborate', 'analytic', 'tableau']"
2,data scientist,Seattle,1106,138759.6,186647.8,"['python', 'analysis', 'design', 'statistic', 'sql', 'r', 'test', 'collaborate', 'analytic', 'network']"
3,data scientist,Washington,1181,77665.44444444444,102973.55555555556,"['python', 'analysis', 'statistic', 'analytic', 'r', 'design', 'security', 'sql', 'collaborate', 'test']"
4,data scientist,New York,818,50770.25,98770.0,"['python', 'design', 'statistic', 'sql', 'analysis', 'analytic', 'r', 'test', 'collaborate', 'database']"
5,data scientist,Baltimore,165,95292.66666666667,125106.33333333333,"['analysis', 'design', 'python', 'r', 'analytic', 'security', 'sql', 'network', 'statistic', 'tableau']"
6,data scientist,Boulder,161,5826.0,6117.0,"['python', 'analysis', 'statistic', 'design', 'analytic', 'r', 'sql', 'test', 'spark', 'network']"
7,data scientist,San Diego,164,73000.0,100000.0,"['python', 'analysis', 'design', 'analytic', 'statistic', 'framework', 'r', 'sql', 'collaborate', 'c']"
8,data scientist,Denver,180,81451.0,105890.0,"['python', 'design', 'analysis', 'analytic', 'statistic', 'r', 'sql', 'test', 'collaborate', 'database']"
9,data scientist,Huntsville,22,120000.0,135000.0,"['analysis', 'analytic', 'design', 'security', 'metric', 'sas', 'python', 'statistic', 'database', 'tensorflow']"
10,data scientist,Colorado Springs,6,150000.0,200000.0,"['analysis', 'security', 'design', 'test', 'collaborate', 'network', 'database', 'python', 'analytic', 'sql']"
11,data scientist,Houston,375,85000.0,110000.0,"['design', 'analysis', 'python', 'statistic', 'analytic', 'r', 'database', 'sql', 'test', 'spark']"
